id,case_node,root_cause
1,100d0afdfd07bc22,Normal
2,100df5e0900e481c,Access Denied
3,10103213cb147bca,Normal
4,1017b928f5acc503,Normal
5,101b28e207fd4ee,Access Denied
6,10241e72d714ab66,Normal
7,102524a913e679ed,Access Denied
8,1029bd3ef18183c9,Normal
9,102c854cf8716993,Normal
10,103588f7bee4e28a,Normal
11,103abe550cae9123,Normal
12,104332efbfbf3100,Access Denied
13,1044028c055acf42,Access Denied
14,1045e8558e815066,Access Denied
15,104abf63a302b1a7,Access Denied
16,104b733beafb221f,Normal
17,104ef910769d6e02,Normal
18,104fab59f5bd80a,Access Denied
19,1051226b8dea951e,Normal
20,10536d9e38e9b6da,Normal
21,105caa11375b308f,Normal
22,106343f68109301f,Access Denied
23,1063b5c2f1ff13eb,Normal
24,1066d5bb4c17285c,Normal
25,106bedb819e4b406,Access Denied
26,107111e881cc8483,Normal
27,1079078c3fa07c0e,Normal
28,1079ad14dae770d9,Normal
29,1083edf6f8af0b01,Access Denied
30,108663fe5cf17af2,Normal
31,1089e49c8642b84b,Normal
32,108c78f6583d12f7,Normal
33,108de0bcb5fdff31,Access Denied
34,108e5601094d88e,Access Denied
35,10912d62ec9d128d,Normal
36,109e8f0e4665d9df,Access Denied
37,10a768689a1ac00b,Normal
38,10a873ea31c5e966,Normal
39,10a9006b62bc2360,Normal
40,10a9010b3fef2002,Normal
41,10abc76d2dc1ea01,Access Denied
42,10b127581c919e44,Access Denied
43,10b39249c96f7841,Normal
44,10b91c17aec2e0f9,Access Denied
45,10be61b765a89814,Normal
46,10c09db2a06ed7b5,Access Denied
47,10c52ea4a5031a07,Normal
48,10ce164876817066,Normal
49,10ce5019c308c319,Normal
50,10d4f5c17ac1b5a7,Normal
51,10d59d8008ab6ba9,Access Denied
52,10d71925ef7ea3b2,Normal
53,10dbebd93c580009,Access Denied
54,10dfc06a23909d5e,Access Denied
55,10e785ce40448d69,Normal
56,10e953fdcc8c40e4,Access Denied
57,10e9b5734ccd9a9b,Normal
58,10ea4c3442efa67b,Normal
59,10ea96b6f2a38166,Normal
60,10eadced40c3f8ee,Normal
61,10ebb1c022c6aff3,Access Denied
62,10ef4cf57880f28e,Normal
63,10f3406db530437a,Normal
64,10f3d3794a77a51b,Normal
65,10f57f312093350a,Normal
66,10f746b08dce8e72,Normal
67,10fbb75bada562e2,Access Denied
68,1107921d0fdb1290,Normal
69,110b7333c0206bef,Access Denied
70,110d7dc6ce1da277,Access Denied
71,1112a313f68c37ed,Access Denied
72,1118a659d65433c6,Normal
73,11196ed38bdac511,Access Denied
74,111ccded379187a5,Normal
